asof_date,ticker,signal_name,value,confidence,posts_analyzed,calculation_method,search_terms
2024-02-25,GDEV,SENTIMENT_RDDT,0.2693336263298988,0.02,0,fallback_no_data,"gdev, gaijin"
2024-02-25,OTGLF,SENTIMENT_RDDT,0.17765564657656777,0.08,0,fallback_no_data,"otglf, outlook games"
2024-02-25,SNAL,SENTIMENT_RDDT,0.6696104264135845,0.08,0,fallback_no_data,"snal, snail games"
2024-02-25,GRVY,SENTIMENT_RDDT,0.717799166156289,0.34,0,fallback_no_data,"grvy, gravity games"
2024-02-25,SQNXF,SENTIMENT_RDDT,0.5342331710329066,0.38,0,fallback_no_data,"sqnxf, square enix, squareenix"
2024-02-25,KSFTF,SENTIMENT_RDDT,0.0,0.0,0,fallback_no_data,"ksftf, kingsoft, kingsoft corp"
2024-02-25,KNMCY,SENTIMENT_RDDT,0.5969381896368717,0.36,0,fallback_no_data,"knmcy, konami, konami group"
2024-02-25,NEXOY,SENTIMENT_RDDT,-0.4887414757463823,0.08,0,fallback_no_data,"nexoy, nexon, nexon co"
2024-02-26,EA,SENTIMENT_RDDT,0.5826469984701032,0.56,0,fallback_no_data,"ea, electronic arts, ea games"
2024-02-26,TTWO,SENTIMENT_RDDT,0.7026628021737519,0.28,0,fallback_no_data,"ttwo, take-two interactive, ttwo"
2024-02-26,NTES,SENTIMENT_RDDT,0.7700732139429396,0.04,0,fallback_no_data,"ntes, netease"
2024-02-26,RBLX,SENTIMENT_RDDT,0.8367722762391406,0.4,0,fallback_no_data,"rblx, roblox"
2024-02-26,MSFT,SENTIMENT_RDDT,0.5475634489108997,0.46,0,fallback_no_data,"msft, microsoft"
2024-02-26,SONY,SENTIMENT_RDDT,0.23257444888179038,0.54,0,fallback_no_data,"sony, sony"
2024-02-26,WBD,SENTIMENT_RDDT,0.3088471745745967,0.48,0,fallback_no_data,"wbd, warner bros"
2024-02-26,NCBDY,SENTIMENT_RDDT,-0.5728446326457549,0.14,0,fallback_no_data,"ncbdy, cd projekt"
2024-02-26,GDEV,SENTIMENT_RDDT,0.2693336263298988,0.02,0,fallback_no_data,"gdev, gaijin"
2024-02-26,OTGLF,SENTIMENT_RDDT,0.17765564687781943,0.08,0,fallback_no_data,"otglf, outlook games"
2024-02-26,SNAL,SENTIMENT_RDDT,0.6696104267086123,0.08,0,fallback_no_data,"snal, snail games"
2024-02-26,GRVY,SENTIMENT_RDDT,0.7201093707825663,0.32,0,fallback_no_data,"grvy, gravity games"
2024-02-26,SQNXF,SENTIMENT_RDDT,0.5342331702846227,0.38,0,fallback_no_data,"sqnxf, square enix, squareenix"
2024-02-26,KSFTF,SENTIMENT_RDDT,0.0,0.0,0,fallback_no_data,"ksftf, kingsoft, kingsoft corp"
2024-02-26,KNMCY,SENTIMENT_RDDT,0.5969381888819627,0.36,0,fallback_no_data,"knmcy, konami, konami group"
2024-02-26,NEXOY,SENTIMENT_RDDT,-0.4887414754166023,0.08,0,fallback_no_data,"nexoy, nexon, nexon co"
2024-02-27,EA,SENTIMENT_RDDT,0.6262233252894686,0.66,0,fallback_no_data,"ea, electronic arts, ea games"
2024-02-27,TTWO,SENTIMENT_RDDT,0.6995378204338523,0.24,0,fallback_no_data,"ttwo, take-two interactive, ttwo"
2024-02-27,NTES,SENTIMENT_RDDT,0.7700732138094946,0.04,0,fallback_no_data,"ntes, netease"
2024-02-27,RBLX,SENTIMENT_RDDT,0.83982349604662,0.34,0,fallback_no_data,"rblx, roblox"
2024-02-27,MSFT,SENTIMENT_RDDT,0.5475634481669475,0.46,0,fallback_no_data,"msft, microsoft"
2024-02-27,SONY,SENTIMENT_RDDT,0.20253078708140035,0.54,0,fallback_no_data,"sony, sony"
2024-02-27,WBD,SENTIMENT_RDDT,0.30502179647053174,0.5,0,fallback_no_data,"wbd, warner bros"
2024-02-27,NCBDY,SENTIMENT_RDDT,-0.5728446349920218,0.14,0,fallback_no_data,"ncbdy, cd projekt"
2024-02-27,GDEV,SENTIMENT_RDDT,0.2693336263298988,0.02,0,fallback_no_data,"gdev, gaijin"
2024-02-27,OTGLF,SENTIMENT_RDDT,0.15994031911203688,0.06,0,fallback_no_data,"otglf, outlook games"
2024-02-27,SNAL,SENTIMENT_RDDT,0.6696104270029294,0.08,0,fallback_no_data,"snal, snail games"
2024-02-27,GRVY,SENTIMENT_RDDT,0.7235652062559459,0.34,0,fallback_no_data,"grvy, gravity games"
